Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion,Score
2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",disgust,0.8400841951370239
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",disgust,0.6117013096809387
2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,How close did you get?,surprise,0.7143820524215698
2011-04-17,Season 1,Episode 1,Winter is Coming,will,Close as any man would.,neutral,0.9114252924919128
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,We should head back to the wall.,fear,0.4208105206489563
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Do the dead frighten you?,fear,0.9559082388877869
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,neutral,0.6202912330627441
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,You don't think he'll ask us how they died? Get back on your horse.,surprise,0.7657095193862915
2011-04-17,Season 1,Episode 1,Winter is Coming,will,Whatever did it to them could do it to us. They even killed the children.,anger,0.5590818524360657
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",anger,0.6356104612350464
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Your dead men seem to have moved camp.,neutral,0.5159028172492981
2011-04-17,Season 1,Episode 1,Winter is Coming,will,They were here.,neutral,0.8349232077598572
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,See where they went.,neutral,0.9458221197128296
2011-04-17,Season 1,Episode 1,Winter is Coming,royce,What is it?,surprise,0.5850765109062195
2011-04-17,Season 1,Episode 1,Winter is Coming,gared,It's …,neutral,0.8170828223228455
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,neutral,0.38425958156585693
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,anger,0.42974337935447693
2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,"Fine work, as always. Well done.",neutral,0.692253828048706
2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,neutral,0.666360080242157
2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,joy,0.782084047794342
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",neutral,0.6362763047218323
2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",neutral,0.6491798758506775
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,neutral,0.564249575138092
2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"Quick, Bran, faster!",surprise,0.48635825514793396
2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,disgust,0.7373822331428528
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.,neutral,0.8917436003684998
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,surprise,0.5205240249633789
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat.",disgust,0.3690301179885864
2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"The law is law, my lady.",neutral,0.6730467081069946
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too.",neutral,0.8187599778175354
2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,neutral,0.6891785264015198
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.,neutral,0.8098020553588867
2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",neutral,0.5959311127662659
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",neutral,0.6369798183441162
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",sadness,0.3498457968235016
2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",neutral,0.9185885787010193
2011-04-17,Season 1,Episode 1,Winter is Coming,will,"Forgive me, lord.",anger,0.7700168490409851
