Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
initialize_paths,2024-05-29T18:31:24,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,0.0140008926391601,1.806722991971968e-08,1.2905220490667566e-06,22.5,0.0,0.1266818046569824,1.0000020265579224e-07,0.0,1.4074735872782184e-10,1.0014095001452006e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_hf_model,2024-05-29T18:31:28,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,4.248792886734009,4.744117680870102e-06,1.1168399555259385e-06,22.5,0.7537647652898657,0.5016188621520996,2.655504941940308e-05,-7.71945062e-07,5.12041808002266e-07,2.6295146165405346e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_csv_data,2024-05-29T18:31:28,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,0.0510048866271972,1.0540218910938593e-07,2.06668547529009e-06,22.5,17.900678347643524,0.5027289390563965,3.250136971473705e-07,2.5361131399999995e-07,5.586038245629245e-09,5.842110493929987e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
convert_text_column_to_str,2024-05-29T18:31:28,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,0.0169980525970459,1.9268814558573044e-08,1.133605436337997e-06,22.5,0.0,0.5027661323547363,1.06242299079894e-07,0.0,5.586551407077281e-10,1.0680095422060324e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
run_emotion_analysis_pipeline,2024-05-29T19:09:33,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,2285.149043560028,0.0026999185018949,1.1815065263530408e-06,22.5,0.0003567899664062,1.0761637687683103,0.0142821815177798,-2.2638907000000002e-07,0.0006828405230264,0.0149647956517362,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_results_to_csv,2024-05-29T19:09:33,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,0.13201904296875,2.0087131436582334e-07,1.5334157643730403e-06,22.5,7.175422302178882,1.0761923789978027,8.189231157310767e-07,2.59166874e-07,3.5276272868957355e-08,1.1133662626006124e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
initialize_visualization_values,2024-05-29T19:09:33,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,0.0309724807739257,1.2413318489779004e-07,4.135443319694522e-06,22.5,60.66852887442834,1.076359748840332,1.937240362171605e-07,4.88333724e-07,5.973283791096788e-09,6.880310440080667e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
visualize_emotion_distribution_by_season,2024-05-29T19:09:35,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,1.3583924770355225,1.4359543672177837e-06,1.0571021881984906e-06,22.5,3.4890531581314046,1.0912799835205078,8.490093052386863e-06,-7.68333948e-07,2.37282494665184e-07,7.959041599052419e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
visualize_emotion_fluctuations_across_seasons,2024-05-29T19:09:36,emotion_analysis_pipeline,12c0295e-3125-44d1-8b27-92308549d5d3,1.0944156646728516,1.2632902423571034e-06,1.1542755271572192e-06,22.5,0.0093808538936036,1.105224609375,6.84036910533932e-06,1.3888899999999321e-09,1.6026088502259488e-07,7.00201888036156e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
get_cli_args,2024-05-30T12:16:05,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,0.020033836364746,3.426654145097719e-08,1.7103926201832612e-06,32.5,0.0,0.0459723472595214,1.8989029857847425e-07,0.0,3.83196911949805e-11,1.899286182696693e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
