Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
initialize_paths,2024-05-31T00:42:33,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.014000654220581055,1.691866014613412e-08,1.208316372523684e-06,22.5,0.0,0.05422067642211914,9.374469518661498e-08,0.0,3.009527849447599e-11,9.377479046510945e-08,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_dataset,2024-05-31T00:42:34,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.8580753803253174,7.156697487450777e-07,8.340385652611822e-07,22.5,15.383714667837562,0.07457113265991211,5.362959206104278e-06,-1.4027789e-06,6.5511106339499755e-09,3.966731416738228e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_vectorizer,2024-05-31T00:42:34,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.02000117301940918,5.352734914644384e-08,2.6758596295002022e-06,22.5,5.396021279695355,0.07458972930908205,2.437293529510499e-07,5.250004200000007e-08,4.557980255034029e-10,2.966851929765533e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
perepare_data_for_model_training,2024-05-31T00:42:46,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,11.454448461532593,1.2985169540703884e-05,1.133635629485862e-06,22.5,0.01779380593652563,0.14754009246826172,7.15903863310814e-05,-5.250004200000007e-08,4.3480790276134934e-07,7.197269419184274e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_hyperparameters,2024-05-31T00:42:46,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.019001483917236328,5.343599813006331e-08,2.9686458012254237e-06,22.5,5.774988282973135,0.14754009246826172,2.374991774558991e-07,5.777782399999992e-08,9.018616844968959e-10,2.9617886314038883e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_grid_search_parameters,2024-05-31T00:42:46,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.013998270034790039,1.806830299621608e-08,1.2042005868183796e-06,22.5,0.0,0.14754009246826172,1.0002404451369697e-07,0.0,1.2285322497973618e-10,1.0014689773867231e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
train_neural_network_classifier,2024-05-31T00:42:49,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,3.770766496658325,4.265880865137324e-06,1.1313043767238103e-06,22.5,0.06396525189503391,0.14983177185058594,2.3567369580268868e-05,-5.777782399999992e-08,1.348387614029889e-07,2.3644430517671865e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
cross_validate_neural_network_10_folds,2024-05-31T00:43:12,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,22.334331512451172,2.5366471967910416e-05,1.135762761071205e-06,22.5,0.0,0.1479177474975586,0.00013971455842256547,0.0,8.837852455297933e-07,0.00014059834366809528,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_cross_validated_scores,2024-05-31T00:43:12,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.023000001907348633,5.7901114166645606e-08,2.4151446944818094e-06,22.5,5.023794328764961,0.14801788330078125,2.625539898872269e-07,5.722226799999995e-08,1.1513334099313871e-09,3.209275912971455e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
predict_test_data,2024-05-31T00:43:12,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,0.026000261306762695,3.053063167032219e-08,1.1743186410997107e-06,22.5,0.0,0.14876317977905273,1.6872584819794178e-07,0.0,4.958019163343766e-10,1.6922165011428294e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_model_and_report,2024-05-31T00:43:15,neural_network,61316145-e809-4dd7-8bd0-07cf22221f5d,3.004077672958374,3.3955509208344892e-06,1.1303127008247188e-06,22.5,0.08323244113237423,0.14942550659179688,1.877545565366745e-05,-5.722226799999995e-08,1.022330912610415e-07,1.8820466476928522e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
