Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b4.txt,1336.37,1138.95,592.26,455.58,7,0,2
0105.b4.txt,1209.26,1166.38,523.16,548.89,12,0,4
0107.b4.txt,1806.45,1240.14,652.33,243.73,10,0,6
0139.b4.txt,1523.49,1073.83,516.78,308.72,9,0,7
0140.b4.txt,1162.41,1129.43,395.71,469.91,10,0,6
0158.b4.txt,1377.87,1203.9,605.43,563.67,13,0,1
0165.b4.txt,1168.73,998.45,433.44,371.52,10,0,5
0178.b4.txt,1532.88,1089.15,653.49,625.25,11,0,0
0200.b4.txt,1229.28,959.94,704.42,718.23,9,0,2
0219.b4.txt,1533.46,920.07,483.27,418.22,16,0,2
0300.b4.txt,1573.22,1112.97,451.88,326.36,11,0,6
0308.b4.txt,1353.9,1036.85,531.28,565.55,5,0,1
0310.b4.txt,1522.49,1107.27,663.21,392.16,11,0,2
0318.b4.txt,1406.76,939.38,374.83,351.69,14,0,3
1003.b4.txt,1572.2,1153.85,492.58,209.18,6,0,3
1021.b4.txt,1370.91,1081.49,479.82,403.66,11,0,4
1023.b4.txt,1253.2,946.29,805.63,792.84,9,0,3
1057.b4.txt,1434.95,1122.45,465.56,350.77,7,0,2
1069.b4.txt,1254.1,1172.13,557.38,704.92,8,0,5
1097.b4.txt,1481.97,1075.41,550.82,472.13,10,0,3
1100.b4.txt,1514.61,1062.89,478.3,301.15,5,0,2
1112.b4.txt,1338.43,1210.96,446.14,420.65,11,0,3
1508.b4.txt,1290.09,1093.29,488.34,313.41,12,0,3
1520.b4.txt,1274.63,972.91,584.98,406.4,4,0,3
1528.b4.txt,1389.45,1142.28,527.72,527.72,8,0,3
1532.b4.txt,1192.2,1148.84,390.17,520.23,12,0,4
2018.b4.txt,1243.86,1358.43,400.98,368.25,9,0,3
2030.b4.txt,1306.78,1160.03,489.17,419.29,9,0,4
2034.b4.txt,1309.26,872.84,639.58,368.7,14,0,5
